Year,Group,Clutch,Date_hatched,Egg_no,Time_of_hatch,Initial_colour_ring,Second_Colour_ring,Dry_weight,Shell_weight,Pen,Hatch_weight,Date_moved_outside,Weight_movedout_g,Weight_perc_increase_per_day,Flight_pen_no,Date_rung,Age_rung_days,Weight_at_ring,BTO_ring,Flag,GPS,Satelite_tag,Sex,Date_moved_release_site,Age_moved_release_site,Weight_moved_release_site_day,Release_site,Release_date,Age_at_release,Extra_weight_day_release,Notes,Notes_early_hatch,Ringing_notes,Notes_moving,Vet_notes_move_releasesite,Outcome,Name,Base
2021,,4,24/05/2021,4/2,,Pink 4,,51.1,5.4,,,28/05/2021,62.2,,,26/06/2021,33,418,,0T,No,,Female,08/07/2021,45,,Ken Hill 1,15/07/2021,52,,,,,,,,,
2021,,4,25/05/2021,4/1,,Pink 6,,52.5,4.5,,,,,,,26/06/2021,32,,,,,,,08/07/2021,44,,,15/07/2021,51,,Euthanised 31/05 - on day 3 went off legs,,,,,,,
2021,,4,26/05/2021,4/4,,Pink 7,,47.8,5.7,,,02/06/2021,69,,,10/07/2021,45,381,,3P,No,,Male,20/07/2021,55,,Sandringham,27/07/2021,62,,Slow growing moved back,,,,,,,
2021,,14,23/05/2021,14/2,,Grey 2,,51.4,7,,,28/05/2021,73.1,,,26/06/2021,34,460,,2J,No,,Male,08/07/2021,46,,Ken Hill 1,15/07/2021,53,,,,,,,,,
2021,,14,24/05/2021,14/3,,Grey 1,,56.6,7.9,,,28/05/2021,68.4,,,26/06/2021,33,430,,0X,No,,Male,08/07/2021,45,,Ken Hill 1,15/07/2021,52,,,,,,,,,
2021,,14,25/05/2021,14/1,,Grey 3,,54.2,7.2,,,31/05/2021,,,,26/06/2021,32,440,,2N,No,,Male,08/07/2021,44,,Ken Hill 1,15/07/2021,51,,,,,,,,,
2021,,14,26/05/2021,14/4,,Grey 4,,54.8,5.4,,,31/05/2021,,,,26/06/2021,31,401,,2C,No,,Male,08/07/2021,43,,Ken Hill 1,15/07/2021,50,,,,,,,,,
2021,,13,26/05/2021,13/2,,Orange 2,,54.4,7.7,,,01/06/2021,63.6,,,10/07/2021,45,464,,3L,No,,Male,17/07/2021,52,,Ken Hill 1,22/07/2021,57,,very slight feather problem,,,,,,,
2021,,13,26/05/2021,13/4,,Orange 3,,49.1,8.9,,,01/06/2021,82.5,,,26/06/2021,31,413,,2K,No,,Female,08/07/2021,43,,Ken Hill 1,15/07/2021,50,,,,,,,,,
2021,,13,27/05/2021,13/3,,Orange 4,,51.3,7.2,,,01/06/2021,68.4,,,10/07/2021,44,494,,3U,No,,Female,17/07/2021,51,,Ken Hill 1,22/07/2021,56,,,,,,,,,
2021,,13,27/05/2021,13/1,,Orange 5,,56.9,6.3,,,01/06/2021,67,,,10/07/2021,44,499,,3E,No,,Male,17/07/2021,51,,Ken Hill 1,22/07/2021,56,,,,,,,,,
2021,,8,28/05/2021,8/1,,Pink 10,,50,7.5,,,02/06/2021,69.2,,,10/07/2021,43,403,,3C,No,,Male,20/07/2021,53,,Sandringham,27/07/2021,60,,,,,,,,,
2021,,8,28/05/2021,8/2,,Pink 9,green left,51.7,7.6,,,02/06/2021,86.5,,,26/06/2021,29,420,,2H,No,,Female,08/07/2021,41,,Ken Hill 1,15/07/2021,48,,Bill curved slightly to left last cm,,,,,,,
2021,,8,28/05/2021,8/4,,Pink 8,,51.6,7.2,,,02/06/2021,84.4,,,26/06/2021,29,328,,2V,No,,Female,08/07/2021,41,,Ken Hill 1,15/07/2021,48,,,,,,,,,
2021,,6,27/05/2021,6/2,,Black 4,,53.9,7.7,,,02/06/2021,74,,,26/06/2021,30,401,,2L,No,,Female,08/07/2021,42,,Ken Hill 1,15/07/2021,49,,,,,,,,,
2021,,6,29/05/2021,6/4,,Black 5,,54.9,9.6,,,04/06/2021,90.3,,,26/06/2021,28,401,,0Y,No,,Female,08/07/2021,40,,Ken Hill 1,15/07/2021,47,,,,,,,,,
2021,,9,30/05/2021,9/1,,yellow 5,,62,8.1,,,04/06/2021,93.4,,,26/06/2021,27,365,,2X,No,,Male,08/07/2021,39,,Ken Hill 1,15/07/2021,46,,,,,,,,,
2021,,9,30/05/2021,9/3,,yellow 6,,61.9,9.6,,,04/06/2021,104.3,,,26/06/2021,27,439,,2P,No,,Female,08/07/2021,39,,Ken Hill 1,15/07/2021,46,,,,,,,,,
2021,,9,30/05/2021,9/4,,yellow 7,,61,10.3,,,04/06/2021,81.5,,,10/07/2021,41,503,,2Y,No,,Male,17/07/2021,48,,Ken Hill 1,22/07/2021,53,,,,,,,,,
2021,,9,01/06/2021,9/2,,yellow 8,,60.2,8.3,,,06/06/2021,93.9,,,10/07/2021,39,509,,3A,No,,Male,17/07/2021,46,,Ken Hill 1,22/07/2021,51,,,,,,,,,
2021,,23,31/05/2021,23/1,,Orange 6,,59.7,8.9,,,04/06/2021,75.3,,,10/07/2021,40,490,,3K,No,,Female,20/07/2021,50,,Sandringham,27/07/2021,57,,injury to toe on ringing (recent but not fresh),,,,,,,
2021,,23,31/05/2021,23/3,,Orange 7,,55.2,9,,,04/06/2021,69.2,,,10/07/2021,40,471,,3Y,No,,Female,20/07/2021,50,,Sandringham,27/07/2021,57,,,,,,,,,
2021,,23,31/05/2021,23/4,,Orange 8,,55.1,7.7,,,04/06/2021,53.8,,,10/07/2021,40,336,,4E,No,,Male,20/07/2021,50,,Sandringham,27/07/2021,57,,,,,,,,,
2021,,23,31/05/2021,23/2,,Orange 10,,55.4,7.2,,,04/06/2021,59.4,,,10/07/2021,40,359,,3H,No,,Female,,,,,,,,Held back from release,,,,,,,
2021,,12,01/06/2021,12/2,,Grey 7,,54.4,9.5,,,06/06/2021,77.8,,,10/07/2021,39,474,,3T,No,,Female,20/07/2021,49,,Sandringham,27/07/2021,56,,,,,,,,,
2021,,12,01/06/2021,12/3,,Grey 8,,56.3,9.7,,,06/06/2021,78.9,,,10/07/2021,39,464,,3V,No,,Female,20/07/2021,49,,Sandringham,27/07/2021,56,,,,,,,,,
2021,,12,02/06/2021,12/1,,Grey 9,,56.4,9.3,,,06/06/2021,75.4,,,10/07/2021,38,462,,4A,No,,Female,20/07/2021,48,,Sandringham,27/07/2021,55,,,,,,,,,
2021,,12,02/06/2021,12/4,,Grey 10,,54.5,6.9,,,06/06/2021,75.1,,,10/07/2021,38,408,,3N,No,,Male,20/07/2021,48,,Sandringham,27/07/2021,55,,,,,,,,,
2021,,10,05/06/2021,10/4,,Black 7,,58.9,7.7,,,10/06/2021,88.4,,,10/07/2021,35,507,,3J,No,,Male,17/07/2021,42,,Ken Hill 1,22/07/2021,47,,White on primary feathers like others. Sheaths prened off properly itself,,,,,,,
2021,,10,05/06/2021,10/2,,Black 8,,62.1,7.2,,,10/06/2021,81.8,,,10/07/2021,35,411,,4C,No,,Male,20/07/2021,45,,Sandringham,27/07/2021,52,,,,,,,,,
2021,,10,06/06/2021,10/3,,Black 6,green left,60.3,5.5,,,10/06/2021,77.4,,,10/07/2021,34,407,,3X,No,,Female,20/07/2021,44,,Sandringham,27/07/2021,51,,,,,,,,,
2021,,15,07/06/2021,15/4,,Grey 5,,52.6,8.1,,,12/06/2021,72.9,,,20/07/2021,43,424,,5H,No,,Male,29/07/2021,52,,Ken Hill 1,03/08/2021,57,,,,,,,,,
2021,,15,07/06/2021,15/3,,Grey 6,,61.3,6.5,,,12/06/2021,73.1,,,,,,,,,,,,,,,,,,Euthanised 15/6,,,,,Euthanised,,
2021,,15,07/06/2021,15/1,,Black 9,,47.7,6.9,,,12/06/2021,71.4,,,20/07/2021,43,507,,4K,No,,Female,29/07/2021,52,,Ken Hill 1,03/08/2021,57,,,,,,,,,
2021,,15,07/06/2021,15/2,,Black 10,,52,4.5,,,12/06/2021,62.5,,,20/07/2021,43,442,,4L,No,,Male,29/07/2021,52,,Ken Hill 1,03/08/2021,57,,,,,,,,,
2021,,11,10/06/2021,11/2,,Orange 1,,60.8,9.1,,,14/06/2021,85.8,,,29/07/2021,49,,,,,,,,,,,,,,,,,,,,,
2021,,11,10/06/2021,11/3,,Orange 9,,61.2,9.3,,,14/06/2021,89.5,,,20/07/2021,40,485,,4X,No,,Female,29/07/2021,49,,Ken Hill 1,03/08/2021,54,,,,,,,,,
2021,,11,10/06/2021,11/1,,Yellow 9,,61.2,8.2,,,14/06/2021,76.1,,,20/07/2021,40,541,,5A,No,,Female,29/07/2021,49,,Ken Hill 1,03/08/2021,54,,,,,,,,,
2021,,11,10/06/2021,11/4,,Yellow 10,,61.4,8.2,,,14/06/2021,63.5,,,29/07/2021,49,539,,6E,No,,Male,03/08/2021,54,,Sandringham,10/08/2021,61,,,,,,,,,
2021,,17,12/06/2021,17/2,,Green Rt,,55.7,6.3,,,17/06/2021,76.2,,,20/07/2021,38,426,,4U,No,,Male,29/07/2021,47,,Ken Hill 1,03/08/2021,52,,,,,,,,,
2021,,17,12/06/2021,17/3,,Green Left,,54.8,8.1,,,17/06/2021,73.6,,,20/07/2021,38,450,,4V,No,,Male,29/07/2021,47,,Ken Hill 1,03/08/2021,52,,,,,,,,,
2021,,17,12/06/2021,17/1,,Double Green,,54.9,6.4,,,17/06/2021,74.9,,,20/07/2021,38,435,,4N_Flag_removed,No,,Male,03/08/2021,52,,Sandringham,10/08/2021,59,,,,,,,,,
2021,,16,13/06/2021,16/3,,Blue Left,,57.7,8.4,,,18/06/2021,94,,,20/07/2021,37,540.3,,4T,No,,Female,03/08/2021,51,,Sandringham,10/08/2021,58,,,,,,,,,
2021,,16,13/06/2021,16/1,,Blue Rt,,58,8.1,,,18/06/2021,89.3,,,20/07/2021,37,475,,4Y,No,,Female,03/08/2021,51,,Sandringham,10/08/2021,58,,,,,,,,,
2021,,16,13/06/2021,16/4,,Double Blue,,55.9,9.8,,,18/06/2021,76,,,20/07/2021,37,556,,4H,No,,Female,29/07/2021,46,,Ken Hill 1,03/08/2021,51,,,,,,,,,
2021,,16,14/06/2021,16/2,,Blue/Blue Rt,,59.3,8.5,,,18/06/2021,70,,,29/07/2021,45,567,,5J,No,,Female,03/08/2021,50,,Sandringham,10/08/2021,57,,,,,,,,,
2021,,27,14/06/2021,27/1,,Yellow Left,,56.1,6,,,19/06/2021,81.4,,,20/07/2021,36,390,,5C,No,,Male,29/07/2021,45,,Ken Hill 1,03/08/2021,50,,,,,,,,,
2021,,27,14/06/2021,27/2,,Yellow Rt,,52.7,6.1,,,19/06/2021,71.5,,,20/07/2021,36,394,,4J,No,,Male,03/08/2021,50,,Sandringham,10/08/2021,57,,,,,,,,,
2021,,27,14/06/2021,27/3`,,Double Yellow,,52.5,6.4,,,19/06/2021,74,,,20/07/2021,36,402,,4P,No,,Male,29/07/2021,45,,Ken Hill 1,03/08/2021,50,,,,,,,,,
2021,,18,15/06/2021,18/1,,Double Red,,55.3,5.5,,,19/06/2021,74.6,,,29/07/2021,44,455,,6H,No,,Male,03/08/2021,49,,Sandringham,10/08/2021,56,,,,,,,,,
2021,,18,15/06/2021,18/2,,Red Left,,51.9,8,,,19/06/2021,72.2,,,29/07/2021,,,,6U,No,,,10/08/2021,56,,Ken Hill 1,14/08/2021,60,,Treated for limp,,,,,,,
2021,,18,15/06/2021,18/3,,Red Rt,,54.8,6.2,,,19/06/2021,86.3,,,20/07/2021,35,454,,5E,No,,Male,29/07/2021,44,,Ken Hill 1,03/08/2021,49,,,,,,,,,
2021,,19,15/06/2021,19/2,,Red 1,,46.6,5.2,,,21/06/2021,70.8,,,29/07/2021,44,528,,6C,No,,Female,03/08/2021,49,,Sandringham,10/08/2021,56,,,,,,,,,
2021,,19,16/06/2021,19/1,,Red 2,,48.1,5.9,,,21/06/2021,71.1,,,29/07/2021,43,528,,6K,No,,Male,03/08/2021,48,,Sandringham,10/08/2021,55,,,,,,,,,
2021,,19,16/06/2021,19/3,,Red 3,,47.5,4.4,,,21/06/2021,72.2,,,29/07/2021,43,577,,5T,No,,Female,10/08/2021,55,,Ken Hill 1,14/08/2021,59,,,,,,,,,
2021,,20,16/06/2021,20/1,,White 1,,53.4,5.9,,,21/06/2021,90,,,29/07/2021,43,,,,,,,,,,,,,,,,,,,,,
2021,,21,16/06/2021,21/1,,D Blue 1,,55.5,5.5,,,21/06/2021,78.1,,,29/07/2021,43,565,,5V,No,,Female,10/08/2021,55,,Ken Hill 1,14/08/2021,59,,,,,,,,,
2021,,21,16/06/2021,21/3,,D Blue 2,,55.1,7.3,,,21/06/2021,74.9,,,29/07/2021,43,569,,5L,No,,Female,03/08/2021,48,,Sandringham,10/08/2021,55,,,,,,,,,
2021,,22,16/06/2021,22/2,,Green 1,,49.5,8,,,21/06/2021,81.7,,,29/07/2021,43,497,,5U,No,,Male,10/08/2021,55,,Ken Hill 1,14/08/2021,59,,,,,,,,,
2021,,25,16/06/2021,25/1,,White 3,,44.1,5.6,,,22/06/2021,73.5,,,29/07/2021,43,,,,,,,,,,,,,,died 27/6. Brought,,,,,Died,,
2021,,25,16/06/2021,25/4,,White 2,,45.1,6.9,,,22/06/2021,74.5,,,,,,,,,,,,,,,,,,Found dead 25/6 (62.6g),,,,,Died,,
2021,,25,17/06/2021,25/2,,White 4,,44,5.5,,,23/06/2021,73.5,,,29/07/2021,42,497,,6J,No,,Female,10/08/2021,54,,Ken Hill 1,14/08/2021,58,,,,,,,,,
2021,,25,17/06/2021,25/3,,White 5,,45,6,,,23/06/2021,66,,,29/07/2021,42,565,,5P,No,,Female,10/08/2021,54,,Ken Hill 1,14/08/2021,58,,,,,,,,,
2021,,26,16/06/2021,26/1,,L Blue 1,,58.8,9.1,,,21/06/2021,85.2,,,29/07/2021,43,517,,6P,No,,Male,03/08/2021,48,,Sandringham,10/08/2021,55,,,,,,,,,
2021,,26,17/06/2021,26/2,,L blue 2,,55.5,6.9,,,22/06/2021,80.4,,,29/07/2021,42,572,,5N,No,,Female,10/08/2021,54,,Ken Hill 1,14/08/2021,58,,,,,,,,,
2021,,24,17/06/2021,24/1,,Green 2,,49.1,5.2,,,23/06/2021,71.4,,,,,,,,,,,,,,,,,,Brought in 1/7 as gone off legs. Died 2/7,,,,,Died,,
2021,,24,17/06/2021,24/3,,Green 3,,46,6.6,,,23/06/2021,74.4,,,29/07/2021,42,599,,5K,No,,Female,03/08/2021,47,,Sandringham,10/08/2021,54,,,,,,,,,
2021,,30,18/06/2021,30/4,,Red 4,,59.1,6.6,,,22/06/2021,79.9,,,29/07/2021,41,498,,6N,No,,Female,10/08/2021,53,,Ken Hill 1,14/08/2021,57,,,,,,,,,
2021,,30,19/06/2021,30/1,,Red 5,,57.6,5.9,,,22/06/2021,72.3,,,29/07/2021,40,483,,5Y,No,,Female,10/08/2021,52,,Ken Hill 1,14/08/2021,56,,,,,,,,,
2021,,28,20/06/2021,28/3,,Green 4,,51.8,9.3,,,26/06/2021,87.4,,,29/07/2021,39,532,,6A,No,,Female,10/08/2021,51,,Ken Hill 1,14/08/2021,55,,,,,,,,,
2021,,28,20/06/2021,28/1,,Green 7,,52.8,6.8,,,26/06/2021,58.2,,,29/07/2021,39,416,,6T,No,,Male,10/08/2021,51,,Ken Hill 1,14/08/2021,55,,,,,,,,,
2021,,28,20/06/2021,28/4,,Green 5,,53.6,6.4,,,26/06/2021,91.2,,,29/07/2021,39,551,,5X,No,,Female,10/08/2021,51,,Ken Hill 1,14/08/2021,55,,,,,,,,,
2021,,28,20/06/2021,28/2,,Green 6,,50.8,7.1,,,26/06/2021,74.6,,,29/07/2021,39,548,,6L,No,,Female,10/08/2021,51,,Ken Hill 1,14/08/2021,55,,,,,,,,,
2022,,6,20/05/2022,6/3,,Green 10/Blue,,,7.6,,60.2,26/05/2022,103.3,,,24/06/2022,35,632.1,,6V,No,,Female,14/07/2022,55,761,Sandringham,20/07/2022,61,,,,,,,,,
2022,,6,20/05/2022,6/1,,Green 11,,,7.1,,58.6,26/05/2022,91.3,,,24/06/2022,35,537.7,,6X,No,yes,Male,14/07/2022,55,657,Ken Hill 1,20/07/2022,61,,,,,,,,,
2022,,6,21/05/2022,6/4,,Green 12/Red,,,4.7,,62.3,26/05/2022,120.8,,,24/06/2022,34,547.5,,6Y,No,yes,Male,14/07/2022,54,628,Sandringham,20/07/2022,60,,,,,,,,,
2022,,1,23/05/2022,1/1,,L. Blue 20,,,6,,59.4,28/05/2022,90,,,24/06/2022,32,544.3,,7A,No,,Male,14/07/2022,52,703,Sandringham,20/07/2022,58,,,,,,,,,
2022,,1,23/05/2022,1/2,,D. Blue 20/Yellow,,,7.4,,57.5,28/05/2022,90.6,,,24/06/2022,32,503.7,,7C,No,,Male,14/07/2022,52,674,Ken Hill 1,20/07/2022,58,,,,,,,,,
2022,,1,24/05/2022,1/3,,White 20,,,6.9,,52.3,03/06/2022,109.7,,,24/06/2022,31,402.2,,7H,No,,Male,14/07/2022,51,492,Ken Hill 1,20/07/2022,57,,,,,,,,,
2022,,4,25/05/2022,4/1,,Red 19,,,6.7,,64.7,30/05/2022,94.3,,,24/06/2022,30,594.8,,7E,No,yes,Female,14/07/2022,50,787,Ken Hill 1,20/07/2022,56,,,,,,,,,
2022,,4,25/05/2022,4/3,,D. blue 19,,,6.9,,63.3,30/05/2022,99,,,20/07/2022,56,490.3,,8K,No,yes,Male,03/08/2022,70,529.5,Sandringham,09/08/2022,76,,wings taped 2/6 for 1.5 day,,,,,,,
2022,,4,26/05/2022,4/2,,White 19,,,6.9,,61.3,03/06/2022,112.3,,,20/07/2022,55,502.1,,8C,No,,Male,03/08/2022,69,537.8,Sandringham,09/08/2022,75,,"didn’t hatch well, unabsorbed yolk sak",,,,,,,
2022,,8,26/05/2022,8/4,,Green 18,,,8.5,,64,01/06/2022,90,,,24/06/2022,29,498.9,,7N,No,,Female,14/07/2022,49,617,Ken Hill 1,20/07/2022,55,,,,,,,,,
2022,,8,26/05/2022,8/1,,White 18,,,8.9,,66.6,01/06/2022,92.8,,,20/07/2022,55,507.5,,8P,No,,Male,09/08/2022,75,504,Ken Hill 1,,,,,"3/8(retained, flight feathers still growing FP1), 9/8 (Lost wieght (429) and condition. Very thin, noisy breathing. Lucy health check and retained on own in FP1. (Observe for 48 hours). Died 11/8 sent for PM",,,,Died,,
2022,,8,27/05/2022,8/2,,Red 18,,,7.6,,58.5,01/06/2022,83.4,,,24/06/2022,28,424.2,,7X,No,,Male,14/07/2022,48,535,Sandringham,20/07/2022,54,,,,,,,,,
2022,,8,27/05/2022,8/3,,L. Blue 18,,,7,,61.7,01/06/2022,79.9,,,24/06/2022,28,369.1,,8A,No,,Male,14/07/2022,48,499,Ken Hill 1,20/07/2022,54,,,,,,,,,
2022,,2,26/05/2022,2/2,,L Blue 12,,,7.7,,58.3,01/06/2022,82.6,,,24/06/2022,29,500.7,,7P,No,,Female,14/07/2022,49,695,Ken Hill 1,20/07/2022,55,,,,,,,,,
2022,,2,27/05/2022,2/4,,White 12,,,6,,55.8,01/06/2022,73.4,,,24/06/2022,28,402.4,,7Y,No,yes,Female,14/07/2022,48,666,Sandringham,20/07/2022,54,,,,,,,,,
2022,,2,27/05/2022,2/3,,Red 12,,,5.6,,58,01/06/2022,82.6,,,24/06/2022,28,450.6,,7U,No,yes,Female,14/07/2022,48,613,Ken Hill 1,20/07/2022,54,,,,,,,,,
2022,,5,26/05/2022,5/4,,Green 15,,,7,,60,01/06/2022,95,,,20/07/2022,55,538,,8J,No,,Male,03/08/2022,69,635,Sandringham,09/08/2022,75,,,,,,,,,
2022,,5,27/05/2022,5/3,,L.Blue 15,,,6,,54.8,03/06/2022,97.5,,,24/06/2022,28,431.7,,7K,No,yes,Male,14/07/2022,48,548,Sandringham,20/07/2022,54,,,,,,,,,
2022,,5,28/05/2022,5/1,,D. Blue 15,,,6.6,,58.3,03/06/2022,93.1,,,24/06/2022,27,418.1,,7V,No,,Male,14/07/2022,47,552,Sandringham,20/07/2022,53,,"Bent outside toe, left foot/slightly splayed legs",,,,,,,
2022,,7,28/05/2022,7/4,,L. Blue 17,,,7.3,,57.8,03/06/2022,92.5,,,24/06/2022,27,456.3,,7T,No,,Female,14/07/2022,47,618,Sandringham,20/07/2022,53,,,,,,,,,
2022,,7,28/05/2022,7/3,,White 17,,,6.8,,55.2,03/06/2022,104.5,,,24/06/2022,27,477.1,,7J,No,,Female,14/07/2022,47,650,Ken Hill 1,20/07/2022,53,,strapped wing overnight at 10 days old,,,,,,,
2022,,7,28/05/2022,7/2,,Green 17,,,6.4,,58.4,03/06/2022,92.5,,,20/07/2022,53,676.8,,8N,No,,Female,03/08/2022,67,805,Sandringham,09/08/2022,73,,,,,,,,,
2022,,7,29/05/2022,7/1,,Red 17,,,7.3,,53.6,04/06/2022,83.1,,,24/06/2022,26,463.2,,7L,No,,Female,14/07/2022,46,603,Sandringham,20/07/2022,52,,,,,,,,,
2022,,3,29/05/2022,3/1,,Pink 9,,,8.9,,60,04/06/2022,102.4,,,20/07/2022,52,569,,8L,No,yes,Female,03/08/2022,66,749,Sandringham,09/08/2022,72,,,,,,,,,
2022,,3,29/05/2022,3/3,,Green 9,,,8.3,,60.5,04/06/2022,102.9,,,24/06/2022,26,,,,,,,,,,,,,,,Limpy,,,,,,
2022,,3,30/05/2022,3/4,,Red 9,,,8.5,,60.1,04/06/2022,89.4,,,24/06/2022,25,,,,,,,,,,,,,,,,,,,,,
2022,,12,12/06/2022,12/4,,Red 8,,,6.6,,54.9,17/06/2022,102.5,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,12,12/06/2022,12/3,,D. Blue 8,,,6.9,,58.7,17/06/2022,82.3,,,20/07/2022,38,482,,8E,No,yes,Male,03/08/2022,52,539,Sandringham,09/08/2022,58,,,,,,,,,
2022,,10,14/06/2022,10/1,,L. Blue 10,,,6.4,,48.9,20/06/2022,81.2,,,03/08/2022,50,564,,8V,No,,Male,09/08/2022,56,529.2,Ken Hill 1,13/08/2022,60,,,,,,,,,
2022,,10,16/06/2022,10/3,,White 10,,,7.3,,50.1,20/06/2022,70.5,,,20/07/2022,34,419,,8H,No,,Male,03/08/2022,48,509,Sandringham,09/08/2022,54,,,,,,,,,
2022,,9,17/06/2022,9/1,,D. Blue 10,,,5.3,,62,22/06/2022,97.2,,,03/08/2022,47,655,,8X,No,yes,Female,09/08/2022,53,699.8,Ken Hill 1,13/08/2022,57,,,,,,,,,
2022,,9,17/06/2022,9/3,,No. 5,,,6.9,,,27/06/2022,117.7,,,03/08/2022,47,473.2,,9C,No,,Male,09/08/2022,53,487.6,Ken Hill 1,13/08/2022,57,,,,,,,,,
2022,,9,18/06/2022,9/4,,D. Blue 11,,,8.1,,60.6,22/06/2022,88.1,,,03/08/2022,46,532.2,,8T,No,,Male,09/08/2022,52,587.6,Ken Hill 1,13/08/2022,56,,,,,,,,,
2022,,11,17/06/2022,11/2,,Red 15,,,7.1,,60,22/06/2022,91.2,,,03/08/2022,47,536.4,,8Y,No,,Male,09/08/2022,53,580,Ken Hill 1,13/08/2022,57,,,,,,,,,
2022,,11,18/06/2022,11/3,,White 7 (Clarance),,,7.7,,58.7,27/06/2022,94.8,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,11,19/06/2022,11/4,,white 8,,,6.6,,56.9,27/06/2022,114.7,,,03/08/2022,45,478.8,,9K,No,,Male,15/08/2022,57,,Ken Hill 1,22/08/2022,64,,,,,,,,,
2022,,11,20/06/2022,11/1,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,13,17/06/2022,13/3,,L. Blue 4,,,6.5,,52.2,22/06/2022,73.9,,,03/08/2022,47,597,,8U,No,,Female,15/08/2022,59,611.8,Ken Hill 1,13/08/2022,57,,,,,,,,,
2022,,13,18/06/2022,13/1,,L. Blue 5,,,7.6,,55.9,22/06/2022,74.8,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,13,18/06/2022,13/4,,L. Blue 6,,,5.4,,56.3,22/06/2022,65.9,,,03/08/2022,46,547.3,,9A,No,,Female,15/08/2022,58,,Ken Hill 1,22/08/2022,65,,,,,,,,,
2022,,13,18/06/2022,13/2,,L. Blue 7,,,5,,51.4,22/06/2022,69.1,,,03/08/2022,46,493.8,,9H,No,,Male,15/08/2022,58,,Ken Hill 1,22/08/2022,65,,,,,,,,,
